epoch,lr,train_loss,time,val_psnr,val_ssim,val_mae,val_rmse,val_edge_preservation,val_low_freq_error,val_mid_freq_error,val_high_freq_error,val_total_freq_error,val_val_loss
0,0.00019997664715283917,0.0511926851425044,173.4945616722107,,,,,,,,,,
1,0.00019990659957327568,0.03394161282038247,162.9803237915039,,,,,,,,,,
2,0.000199789890141921,0.03184573611468767,162.55697441101074,,,,,,,,,,
3,0.0001996265736426447,0.031160179321527665,162.5919895172119,,,,,,,,,,
4,0.0001994167267368588,0.030478193920485123,166.2461850643158,,,,,,,,,,
5,0.00019916044792753248,0.030184766363904433,162.60325932502747,,,,,,,,,,
6,0.0001988578575129545,0.029843250914752758,159.21649050712585,,,,,,,,,,
7,0.0001985090975302646,0.02943313209179007,161.94917750358582,,,,,,,,,,
8,0.00019811433168878082,0.029441250909269315,166.47568321228027,,,,,,,,,,
9,0.00019767374529315365,0.029152896554197793,169.58057355880737,26.090359568665914,0.6854508966660507,0.04714086651802063,0.06351836025714874,0.34787680630596773,0.11990508344133857,0.5022037104393084,0.782933715223224,0.4993656827170197,0.047140864076362435
10,0.00019718754515638323,0.02906389832554132,167.19277048110962,,,,,,,,,,
11,0.0001966559595027406,0.02889048214426931,165.73461389541626,,,,,,,,,,
12,0.00019607923786063824,0.028914936859862028,166.2564082145691,,,,,,,,,,
13,0.00019545765094550058,0.02893198995253094,165.12867259979248,,,,,,,,,,
14,0.0001947914905326889,0.028357482424730227,168.21439790725708,,,,,,,,,,
15,0.00019408106932054098,0.02862256475764522,164.87417316436768,,,,,,,,,,
16,0.00019332672078358924,0.028607175788945623,163.4034938812256,,,,,,,,,,
17,0.00019252879901602646,0.02841263641545802,164.29536819458008,,,,,,,,,,
18,0.0001916876785654925,0.02816756044652451,162.49952697753906,,,,,,,,,,
19,0.00019080375425726024,0.028270342505111554,164.12215733528137,26.310691507950015,0.68632794091887,0.046639084815979004,0.06307169795036316,0.34869337613563983,0.1168876427683525,0.5049210147567993,0.781043553928698,0.49931781586576224,0.046639084261474444
20,0.000189877441008903,0.0282657198553307,163.97117114067078,,,,,,,,,,
21,0.00018890917363553053,0.028325493798165777,163.13151359558105,,,,,,,,,,
22,0.00018789940664568517,0.028318445333337158,166.6786332130432,,,,,,,,,,
23,0.0001868486140279937,0.028346401518555702,167.14366388320923,,,,,,,,,,
24,0.00018575728902867517,0.028247402893252855,167.5921471118927,,,,,,,,,,
25,0.00018462594392000924,0.02837408148902066,168.05133152008057,,,,,,,,,,
26,0.00018345510975987348,0.027812287128059034,169.13867163658142,,,,,,,,,,
27,0.0001822453361424627,0.028042126998857216,168.87797141075134,,,,,,,,,,
28,0.00018099719094030728,0.0279272866556076,167.1271710395813,,,,,,,,,,
29,0.00017971126003771157,0.028079945270696446,167.75615572929382,26.429313809812694,0.6926195443687744,0.045702796429395676,0.0619981586933136,0.3464915822102473,0.11904992266626169,0.49857465127938627,0.7677363336652936,0.49128270938133933,0.04570279606483191
30,0.0001783881470557374,0.027663886424924396,182.32197976112366,,,,,,,,,,
31,0.0001770284730688621,0.02815408558573252,181.2445032596588,,,,,,,,,,
32,0.00017563287631344347,0.027579614731632632,179.02422189712524,,,,,,,,,,
33,0.00017420201188812935,0.02792721155622721,180.16712760925293,,,,,,,,,,
34,0.00017273655144635155,0.02783292143628645,181.04921793937683,,,,,,,,,,
35,0.00017123718288104906,0.027511856466945674,178.88078451156616,,,,,,,,,,
36,0.00016970461000176854,0.027644856462117146,181.41589498519897,,,,,,,,,,
37,0.00016813955220429307,0.027693216437416405,179.28772282600403,,,,,,,,,,
38,0.00016654274413295525,0.02775339073110602,185.10106897354126,,,,,,,,,,
39,0.0001649149353357919,0.027724093748946434,183.25704336166382,26.44395770022428,0.6940793317583128,0.04569249227643013,0.06198716163635254,0.34850128193477165,0.11586325983130571,0.4935326905617168,0.7689829160542265,0.49034912631216987,0.04569249155955683
40,0.0001632568899127035,0.027794097199530146,186.12456107139587,,,,,,,,,,
41,0.00016156938615678252,0.027349662196672994,182.13121795654297,,,,,,,,,,
42,0.00015985321618897964,0.027763085066122406,181.45738792419434,,,,,,,,,,
43,0.00015810918558627898,0.027647350288145703,178.18683123588562,,,,,,,,,,
44,0.00015633811300355707,0.02739896465891995,181.48692870140076,,,,,,,,,,
45,0.00015454082978930307,0.02769881082744694,179.6336567401886,,,,,,,,,,
46,0.00015271817959538046,0.02756697714564471,180.57493138313293,,,,,,,,,,
47,0.00015087101798101345,0.027490764244080142,179.0943145751953,,,,,,,,,,
48,0.00014900021201118423,0.027342263008410365,180.89098572731018,,,,,,,,,,
49,0.0001471066398496291,0.027410078875686007,173.11252880096436,26.619626495130984,0.6988814462276612,0.04507198557257652,0.06112397462129593,0.3515669061270756,0.11602968992898416,0.4843393383851553,0.7563501629674514,0.4816073167215457,0.04507198465810353
50,0.00014519119034662496,0.027414794414833098,168.33502006530762,,,,,,,,,,
51,0.00014325476262175946,0.02744165798333002,166.86205744743347,,,,,,,,,,
52,0.00014129826564188088,0.02739884695440623,166.86511254310608,,,,,,,,,,
53,0.00013932261779442515,0.02742969555446855,167.00169777870178,,,,,,,,,,
54,0.00013732874645632143,0.02732259850880062,167.54490494728088,,,,,,,,,,
55,0.00013531758755867766,0.02743305513250101,166.9371302127838,,,,,,,,,,
56,0.00013329008514745063,0.02737303211549182,168.26138305664062,,,,,,,,,,
57,0.00013124719094030724,0.02734928157462244,163.8574697971344,,,,,,,,,,
58,0.00012918986387988436,0.02741206195751596,163.44754195213318,,,,,,,,,,
59,0.00012711906968365747,0.02701995139337938,163.8271243572235,26.511723711954843,0.699773767316483,0.045107051730155945,0.061260122805833817,0.35239774746542274,0.11547061257698502,0.4900839022680948,0.7671084322649573,0.4874541417008897,0.0451070521743723
60,0.0001250357803906288,0.027206181611773777,165.63714456558228,,,,,,,,,,
61,0.00012294097390504871,0.027287036690711516,165.80638670921326,,,,,,,,,,
62,0.00012083563353738328,0.02724601305808504,164.18277215957642,,,,,,,,,,
63,0.00011872074754274464,0.02720626353079246,166.34821438789368,,,,,,,,,,
64,0.00011659730865700009,0.027370083413121325,166.0461061000824,,,,,,,,,,
65,0.00011446631363077775,0.027114115965863068,167.35695433616638,,,,,,,,,,
66,0.00011232876276158817,0.02717962211722301,170.54542303085327,,,,,,,,,,
67,0.00011018565942428055,0.02719816637231198,167.0994749069214,,,,,,,,,,
68,0.00010803800960005465,0.027260112471269145,166.56129813194275,,,,,,,,,,
69,0.00010588682140424904,0.027072717878323646,171.66088032722473,26.517809724367705,0.7011696281540716,0.045050885528326035,0.06112569198012352,0.35395363939908986,0.11638292045071384,0.49155065436989487,0.7665162729430107,0.48720493463777154,0.04505088445914321
70,0.00010373310461312816,0.027266785623160778,175.4844262599945,,,,,,,,,,
71,0.00010157787018988896,0.027145311196139197,180.17244744300842,,,,,,,,,,
72,9.942212981011104e-05,0.02712627028454279,171.05407333374023,,,,,,,,,,
73,9.726689538687185e-05,0.02713133963284853,171.65762734413147,,,,,,,,,,
74,9.511317859575096e-05,0.027108953870476488,167.62900567054749,,,,,,,,,,
75,9.29619903999454e-05,0.02728452457094933,160.4921019077301,,,,,,,,,,
76,9.081434057571942e-05,0.02708770018387126,163.79659628868103,,,,,,,,,,
77,8.867123723841182e-05,0.027076538406415947,160.47676634788513,,,,,,,,,,
78,8.653368636922225e-05,0.027339526151743843,161.37200951576233,,,,,,,,,,
79,8.440269134299992e-05,0.027148220698165214,163.62296080589294,26.618249976470914,0.7004061926909518,0.044835228472948074,0.06096066161990166,0.35260101750314105,0.11514114346898627,0.48806781150083833,0.7592625785890287,0.4836129209322176,0.044835229012134825
80,8.227925245725534e-05,0.02702126467462491,162.3903362751007,,,,,,,,,,
81,8.016436646261672e-05,0.027112894941604248,164.15658497810364,,,,,,,,,,
82,7.805902609495127e-05,0.026846681696357046,162.57269763946533,,,,,,,,,,
83,7.59642196093712e-05,0.027199625152588627,162.08164429664612,,,,,,,,,,
84,7.388093031634252e-05,0.027126552355993126,163.70801401138306,,,,,,,,,,
85,7.181013612011559e-05,0.02695928268381797,162.62782216072083,,,,,,,,,,
86,6.975280905969274e-05,0.02681761578352041,161.91611886024475,,,,,,,,,,
87,6.770991485254933e-05,0.02694248433302467,164.20299434661865,,,,,,,,,,
88,6.568241244132228e-05,0.027325130142501475,161.55480813980103,,,,,,,,,,
89,6.367125354367852e-05,0.027043773598658543,164.37753748893738,26.75856335248209,0.7035492439055169,0.044457342475652695,0.060396481305360794,0.3549654008620293,0.1143174586690663,0.48417454253832415,0.7609104922211134,0.4820607145491518,0.044457342527733236
90,6.167738220557483e-05,0.026942272062620357,167.14387679100037,,,,,,,,,,
91,5.970173435811911e-05,0.0267809330554748,166.36217403411865,,,,,,,,,,
92,5.774523737824051e-05,0.02689450424319754,168.24638605117798,,,,,,,,,,
93,5.580880965337502e-05,0.026860345162186817,167.4167456626892,,,,,,,,,,
94,5.3893360150370885e-05,0.027142680422575387,169.4797248840332,,,,,,,,,,
95,5.199978798881575e-05,0.02680113846666099,170.0576090812683,,,,,,,,,,
96,5.012898201898652e-05,0.02667852755015095,169.68223690986633,,,,,,,,,,
97,4.8281820404619545e-05,0.02702941339790683,170.93597865104675,,,,,,,,,,
98,4.645917021069693e-05,0.02678414111034255,169.5973904132843,,,,,,,,,,
99,4.466188699644296e-05,0.02682616241580956,170.07876086235046,26.487257618715788,0.6998773476269005,0.0449964813888073,0.0610918253660202,0.35202038216480824,0.11556012393816112,0.48884587002784824,0.7615445295276503,0.4850129152443244,0.0449964761041644
100,4.289081441372108e-05,0.02689873013087767,169.9829020500183,,,,,,,,,,
101,4.114678381102038e-05,0.026897473740793855,167.9613060951233,,,,,,,,,,
102,3.943061384321752e-05,0.026497479457764622,170.3597755432129,,,,,,,,,,
103,3.7743110087296525e-05,0.026684179281195004,166.21612334251404,,,,,,,,,,
104,3.608506466420815e-05,0.0268254674407711,167.30530452728271,,,,,,,,,,
105,3.445725586704482e-05,0.027049102080284538,166.73341012001038,,,,,,,,,,
106,3.2860447795706955e-05,0.02668085470536931,166.5775113105774,,,,,,,,,,
107,3.1295389998231515e-05,0.026826087086472983,168.24750900268555,,,,,,,,,,
108,2.976281711895098e-05,0.02676303377504357,171.44047856330872,,,,,,,,,,
109,2.8263448553648475e-05,0.026829069105183914,169.28254055976868,26.62417941311489,0.7007036609608072,0.04477702081203461,0.06075797602534294,0.3517386986485464,0.11545834799732779,0.4887376042840229,0.7612322419055971,0.4841592678283557,0.04477702105252415
110,2.679798811187066e-05,0.026774389792900578,171.9426076412201,,,,,,,,,,
111,2.5367123686556548e-05,0.026700103429812983,169.0718231201172,,,,,,,,,,
112,2.3971526931137915e-05,0.02682074495119813,169.39307713508606,,,,,,,,,,
113,2.2611852944262614e-05,0.026672942736358556,169.74717140197754,,,,,,,,,,
114,2.128873996228844e-05,0.026792497629943637,169.64205956459045,,,,,,,,,,
115,2.0002809059692735e-05,0.02662015747261682,169.40560054779053,,,,,,,,,,
116,1.875466385753733e-05,0.026540025601588926,167.05851316452026,,,,,,,,,,
117,1.7544890240126537e-05,0.02664011312119755,167.76866340637207,,,,,,,,,,
118,1.6374056079990786e-05,0.026832046405481244,168.6813268661499,,,,,,,,,,
119,1.5242710971324883e-05,0.02678782877980812,166.01595497131348,26.672494128779704,0.6987540853080773,0.04472475126385689,0.06083326414227486,0.34833904815403116,0.11535528984653705,0.4918646777795835,0.7628963695289219,0.4855708801436276,0.04472475283393195
120,1.4151385972006354e-05,0.026584854362429015,168.40112733840942,,,,,,,,,,
121,1.3100593354314894e-05,0.02664319519025423,166.10128569602966,,,,,,,,,,
122,1.2090826364469516e-05,0.026581442390315603,168.33633708953857,,,,,,,,,,
123,1.1122558991097044e-05,0.026791023465597794,172.0287947654724,,,,,,,,,,
124,1.0196245742739787e-05,0.02656579590661244,169.97810435295105,,,,,,,,,,
125,9.312321434507512e-06,0.02643796388939437,170.61666321754456,,,,,,,,,,
126,8.47120098397356e-06,0.026818979249830233,176.98112964630127,,,,,,,,,,
127,7.673279216410771e-06,0.026616780496961263,173.414808511734,,,,,,,,,,
128,6.918930679459063e-06,0.026510901976215803,171.42026543617249,,,,,,,,,,
129,6.208509467311165e-06,0.02679657691767738,170.6413996219635,26.68157465793864,0.7003605373436711,0.044875096529722214,0.060907453298568726,0.3530658865653985,0.11437044307625273,0.48139167084277135,0.7580040415654363,0.48089089994773443,0.044875101653528156
130,5.54234905449946e-06,0.0266962543943391,173.10532069206238,,,,,,,,,,
131,4.9207621393617825e-06,0.026466212558767035,171.62890362739563,,,,,,,,,,
132,4.344040497259434e-06,0.026664764571498023,173.60139203071594,,,,,,,,,,
133,3.812454843616796e-06,0.02672122720985409,182.2068796157837,,,,,,,,,,
134,3.326254706846377e-06,0.026647999427097356,175.2514567375183,,,,,,,,,,
135,2.885668311219203e-06,0.02664027998315883,176.20181131362915,,,,,,,,,,
136,2.490902469735435e-06,0.026606305674822243,177.392826795578,,,,,,,,,,
137,2.14214248704555e-06,0.02692662001541459,178.10117101669312,,,,,,,,,,
138,1.8395520724675447e-06,0.02661381720099598,177.97706866264343,,,,,,,,,,
139,1.58327326314122e-06,0.026683010373632483,171.59731268882751,26.702385568235883,0.7035655442617081,0.044527944177389145,0.060509104281663895,0.35439413131608355,0.11192367006825742,0.4821438359609584,0.7608107268133587,0.4810582969312706,0.044527945938936775
140,1.373426357355309e-06,0.02654696957360562,171.26609253883362,,,,,,,,,,
141,1.2101098580790028e-06,0.02686366057569552,172.6472249031067,,,,,,,,,,
142,1.093400426724317e-06,0.026652522537466368,171.1964852809906,,,,,,,,,,
143,1.0233528471608293e-06,0.02675031576547082,170.53249096870422,,,,,,,,,,
144,1e-06,0.026767056640151336,171.03545022010803,,,,,,,,,,
145,1.0233528471608293e-06,0.026609917371073898,169.05626964569092,,,,,,,,,,
146,1.0934004267243172e-06,0.026677624141383503,168.96970677375793,,,,,,,,,,
147,1.210109858079003e-06,0.026496060927007577,169.97746467590332,,,,,,,,,,
148,1.3734263573553092e-06,0.026642751693150696,167.61109352111816,,,,,,,,,,
